Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
carrentals,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,1,2,"0,00",COP,"0,00","50,00%","637,00","637,00","0,00%","50,00%"
alquiler carros santa marta colombia,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,3,"0,00",COP,"0,00","33,33%","473,00","473,00","0,00%","100,00%"
alquiler vehiculos monteria,Concordancia exacta (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,2,9,"0,00",COP,"0,00","22,22%","895,40","1790,80","42,86%","85,71%"
alquiler de carros armenia,Concordancia de frase (ligera variación),Añadido,Armenia unica Airport,alquiler de carros en armenia,5,18,"0,00",COP,"0,00","27,78%","349,56","1747,81","6,25%","75,00%"
carro cartagena,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros manizales económicos,Concordancia de frase,Ninguno,Manizales,alquiler de carros manizales,11,25,"0,00",COP,"0,00","44,00%","428,09","4709,00","31,82%","100,00%"
alquilautos,Concordancia amplia,Excluido,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentacar pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,2,9,"0,00",COP,"0,00","22,22%","1136,00","2272,00","12,50%","87,50%"
alquiler coches,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehiculos en cartagena,Concordancia de frase (ligera variación),Añadido,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rentar carro en medellin aeropuerto,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler carros en manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,4,7,"0,00",COP,"0,00","57,14%","453,59","1814,36","20,00%","100,00%"
alquiler de vehiculo cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,3,9,"0,00",COP,"0,00","33,33%","494,43","1483,29","11,11%","77,78%"
renta carros aeropuerto,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
carros en alquiler manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car in armenia colombia,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
transporte en santa marta colombia,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros en medellin precio,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","75,00%"
rentar auto en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rent a car,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,1,2,"0,00",COP,"0,00","50,00%","249,90","249,90","50,00%","100,00%"
rentar carro villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,11,19,"0,00",COP,"0,00","57,89%","834,09","9175,00","53,33%","93,33%"
rentar carro en cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,3,"0,00",COP,"0,00","33,33%","1087,00","1087,00","33,33%","66,67%"
rent car near me,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto cuesta alquilar un carro,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro bogota,Concordancia amplia,Añadido,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","790,33","790,33","100,00%","100,00%"
renta de coches,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,2,10,"0,00",COP,"0,00","20,00%","1278,50","2557,00","20,00%","50,00%"
renta cars,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,1,1,"0,00",COP,"0,00","100,00%","567,00","567,00","0,00%","100,00%"
alquiler de carros en monteria alkilautos com,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
cuanto vale un alquiler de carro por dia,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent car medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,1,8,"0,00",COP,"0,00","12,50%","2033,00","2033,00","33,33%","66,67%"
empresas para rentar carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta carros pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,4,8,"0,00",COP,"0,00","50,00%","1197,11","4788,43","25,00%","62,50%"
alquiler de carros bogotá baratos,Concordancia exacta (ligera variación),Ninguno,Bogota,renta de carros bogota,3,9,"0,00",COP,"0,00","33,33%","689,67","2069,00","33,33%","100,00%"
cuanto vale alquilar un carro en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,15,"0,00",COP,"0,00","20,00%","300,00","900,00","14,29%","85,71%"
alquiler de carros en cúcuta aeropuerto,Concordancia de frase,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
arrendamiento de carros bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,4,"0,00",COP,"0,00","25,00%","676,00","676,00","33,33%","100,00%"
rent a car manizales,Concordancia de frase (ligera variación),Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","240,00","240,00","100,00%","100,00%"
alquilar auto en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,6,"0,00",COP,"0,00","16,67%","254,00","254,00","0,00%","16,67%"
confort rent a car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,8,"1,00",COP,"1263,00","25,00%","631,50","1263,00","12,50%","100,00%"
nu rental car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
santa marta carro,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,1,1,"0,00",COP,"0,00","100,00%","847,00","847,00","0,00%","100,00%"
rent a car near me,Concordancia amplia,Ninguno,Villavicencio,alquiler de carros en villavicencio,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
aluguel de carro cartagena,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto cuesta alquiler de un carro,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","25,50","25,50","100,00%","100,00%"
alquiler de autos en cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
agencias de alquiler de carros,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rentar carros bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,2,"0,00",COP,"0,00","100,00%","524,00","1048,00","100,00%","100,00%"
alquiler de carros en cali económicos,Concordancia de frase,Ninguno,Cali,alquiler de carros en cali,4,8,"0,00",COP,"0,00","50,00%","1072,75","4291,00","14,29%","100,00%"
alquiler de carro medellin colombia,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
carro en arriendo,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,1,1,"0,00",COP,"0,00","100,00%","327,00","327,00","0,00%","0,00%"
rentar carro en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,7,20,"0,00",COP,"0,00","35,00%","786,14","5503,00","25,00%","90,00%"
alquiler de carros baratos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,renta de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rent a car santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,13,93,"2,00",COP,"4835,50","13,98%","743,92","9671,00","10,11%","70,79%"
rentar carro por dias,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","693,00","693,00","0,00%","100,00%"
renta de carros en medellin economicos,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentacar,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","33,33%"
alquilerdecarros en villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,1,2,"0,00",COP,"0,00","50,00%","593,00","593,00","100,00%","100,00%"
alquiler de vehiculo,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,1,"0,00",COP,"0,00","100,00%","966,64","966,64","0,00%","100,00%"
rating colombia alquiler de carros,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de auto en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,1,3,"0,00",COP,"0,00","33,33%","1071,00","1071,00","0,00%","50,00%"
cuanto cuesta el alquiler de una camioneta por dia,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta car,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,1,5,"0,00",COP,"0,00","20,00%","916,00","916,00","20,00%","80,00%"
alquiler carro bogota precio,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,6,22,"0,00",COP,"0,00","27,27%","523,33","3140,00","4,76%","80,95%"
alquiler camioneta estacas medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta car,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,6,20,"0,00",COP,"0,00","30,00%","982,33","5894,00","42,11%","78,95%"
carros rentados,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
arrendadoras de autos,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquilar carro santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","40,00%"
arrendar carro,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentacar en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,5,14,"0,00",COP,"0,00","35,71%","1259,51","6297,54","15,38%","53,85%"
rental cars cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
santa marta colombia rent a car,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","532,00","532,00","0,00%","100,00%"
rental colombia,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
tu roll medellin,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros villamaria,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,2,"0,00",COP,"0,00","50,00%","144,27","144,27","0,00%","100,00%"
carros en alquiler,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
as rent a car,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta carro santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,3,11,"0,00",COP,"0,00","27,27%","501,00","1503,00","0,00%","80,00%"
alquiler vehiculo bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,2,12,"0,00",COP,"0,00","16,67%","653,50","1307,00","45,45%","81,82%"
alquiler vehiculo armenia,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,1,3,"0,00",COP,"0,00","33,33%","764,00","764,00","50,00%","100,00%"
alquila autos,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de carro en cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,3,"0,00",COP,"0,00","33,33%","329,00","329,00","33,33%","100,00%"
alquiler de autos,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","424,79","424,79","100,00%","100,00%"
alquiler auto bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en medellín 24 horas,Concordancia de frase,Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","674,00","674,00","0,00%","100,00%"
alquiler auto santa marta colombia,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","75,00%"
rent car llevate el mio sas,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros por meses,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros soacha,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","2294,00","2294,00","100,00%","100,00%"
rent car pereira colombia,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler carro por día,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentas de carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro semanal,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta carros neiva,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,7,14,"0,00",COP,"0,00","50,00%","525,07","3675,48","90,91%","100,00%"
car rental cucuta colombia,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,3,"0,00",COP,"0,00","33,33%","2285,00","2285,00","50,00%","100,00%"
alquiler de carros por día en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,2,15,"0,00",COP,"0,00","13,33%","355,00","710,00","33,33%","75,00%"
carros para arrendar,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de carro en medellin colombia,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carro en villavicencio,Concordancia de frase,Ninguno,Villavicencio,alquiler de carros en villavicencio,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
renta de carros medellin aeropuerto,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1076,00","1076,00","0,00%","100,00%"
rent a car barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,38,106,"0,00",COP,"0,00","35,85%","653,17","24820,56","31,18%","88,17%"
precios de alquiler de carros en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","135,00","135,00","0,00%","100,00%"
alquiler de carro ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,12,16,"0,00",COP,"0,00","75,00%","284,50","3414,00","50,00%","92,86%"
cuanto cuesta rentar un coche,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
empresas de alquiler de vehiculos en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rentar carro,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de autos,Concordancia amplia,Ninguno,Neiva unica Airport,alquiler de carros en neiva,1,5,"0,00",COP,"0,00","20,00%","689,00","689,00","50,00%","75,00%"
alquiler de vehículos en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
rentaauto,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilautos colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de carro,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
renta autos cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,12,"0,00",COP,"0,00","8,33%","249,00","249,00","0,00%","70,00%"
